Set,Card number,Rarity,Cost(Yen),Sold,Condition
sv3,066/108,RR,200.0,,
s9,014/100,RR,300.0,,
s9,014/100,RR,300.0,,
s10b,010/071,R,300.0,,
m2,013/080,RR,400.0,,
svk,001/044,,400.0,,
svk,001/044,,400.0,,
sv3,066/108,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,355.0,,
sv4a,115/190,RR,200.0,,
sv4a,115/190,RR,200.0,,
svJL,006/021,,110.0,,
s10b,010/071,R,300.0,,
s8b,017/184,,300.0,,
s8b,017/184,,300.0,,
s8b,017/184,,300.0,,
s8b,017/184,,300.0,,
s12a,013/172,RR,200.0,,
s12a,014/172,RRR,200.0,,
s12a,013/172,RR,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
promo,291/sv-p,,200.0,,
s10b,027/071,C,200.0,,
sv5m,023/071,C,200.0,,
s10b,027/071,C,200.0,,
sv5m,023/071,C,200.0,,
sv5m,023/071,C,200.0,,
sv5m,023/071,C,200.0,,
sv5m,023/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
sv4a,055/190,,200.0,,
sv2d,017/071,C,200.0,,
sv4a,055/190,,200.0,,
s10a,014/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
sv4a,055/190,,200.0,,
sv4a,055/190,,200.0,,
sv5m,023/071,C,200.0,,
s10b,027/071,C,330.0,,
s10b,027/071,C,330.0,,
s10b,027/071,C,330.0,,
s10b,027/071,C,330.0,,
mp1,006/023,,200.0,,
mp1,006/023,,200.0,,
mc,227/742,,200.0,,
sv2a,025/165,C,200.0,,
sv2a,025/165,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
sv4a,055/190,,200.0,,
s10b,027/071,C,200.0,,
sv4a,055/190,,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
sv4a,055/190,,200.0,,
sv2d,017/071,C,200.0,,
s10b,027/071,C,200.0,,
sv2d,017/071,C,200.0,,
sv5m,023/071,C,200.0,,
sv5m,023/071,C,200.0,,
sv4a,055/190,,200.0,,
sv2d,017/071,C,200.0,,
sv2d,017/071,C,200.0,,
sv2d,017/071,C,200.0,,
sv4a,055/190,,200.0,,
sv4a,055/190,,200.0,,
sv4a,055/190,,200.0,,
sv2d,017/071,C,200.0,,
sv2d,017/071,C,200.0,,
sv2d,017/071,C,200.0,,
sv2d,017/071,C,200.0,,
sv4a,055/190,,200.0,,
sv2d,017/071,C,200.0,,
sv4a,055/190,,200.0,,
svd,034/139,,200.0,,
sv2a,025/165,C,200.0,,
sv2a,025/165,C,200.0,,
sv2a,025/165,C,200.0,,
s8b,045/184,RR,200.0,,
sm10a,009/054,C,500.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s10b,027/071,C,200.0,,
s8b,045/184,RR,300.0,,
s6a,026/069,C,300.0,,
s6a,026/069,C,300.0,,
sv8,033/106,RR,200.0,,
sv8,033/106,RR,200.0,,
sv4a,055/190,,200.0,,
sv2d,017/071,C,200.0,,
sv2d,017/071,C,200.0,,
sh,019/053,,300.0,,
s8a,001/028,,500.0,,
s8a,001/028,,700.0,,
s8a,001/028,,700.0,,
s8a,001/028,,500.0,,
s8a,001/028,,700.0,,
s8a,001/028,,700.0,,
s8a,001/028,,500.0,,
s8a,001/028,,700.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s8a,005/028,,200.0,,
s10a,023/071,R,110.0,,
s10a,023/071,R,110.0,,
s10a,023/071,R,110.0,,
m1l,065/063,AR,200.0,,
sv2a,184/165,SR,500.0,,
sv2a,166/165,AR,1200.0,,
m1l,064/063,AR,400.0,,
m1l,076/063,SR,400.0,,
m1l,064/063,AR,500.0,,
s12a,054/172,RRR,400.0,,
s3,081/100,RRR,300.0,,
s11,080/100,RR,300.0,,
s11,080/100,RR,300.0,,
s8b,101/184,RRR,500.0,,
s10a,077/071,CHR,800.0,,
s10a,077/071,CHR,400.0,,
m2a,210/193,AR,200.0,,
m5,087/081,AR,400.0,,
sv11b,161/086,SR,500.0,,
sv3a,071/062,AR,700.0,,
sld,007/020,,200.0,,
sld,007/020,,200.0,,
sv7,124/102,SR,400.0,,
s8,115/100,SR,110.0,,
m3,107/080,SR,900.0,,
s8b,261/184,SR,700.0,,
sh,014/053,,700.0,,
s10b,028/071,R,,,
mc,443/742,,,,
mc,443/742,,,,
sv4a,173/190,,,,
sm10a,009/054,C,,,
smh,032/131,,,,
sm10a,009/054,C,,,
